country,year,month,avg_temperature_celsius,avg_precip_mm,observations
Antigua and Barbuda,2025.0,12.0,25.038709677419355,0.01967741935483871,31
Antigua and Barbuda,2026.0,1.0,24.456666666666667,0.025333333333333333,30
Antigua and Barbuda,2026.0,2.0,24.196428571428573,0.02392857142857143,28
Antigua and Barbuda,2026.0,3.0,24.396666666666665,0.029000000000000005,30
Antigua and Barbuda,2026.0,4.0,24.796666666666667,0.028666666666666667,30
Antigua and Barbuda,2026.0,5.0,26.04516129032258,0.03032258064516129,31
Antigua and Barbuda,2026.0,6.0,26.51764705882353,0.018235294117647058,17
Argentina,2024.0,5.0,11.235294117647058,0.0011764705882352942,17
Argentina,2024.0,6.0,13.55,0.009000000000000001,30
Argentina,2024.0,7.0,6.796428571428572,0.0,28
Argentina,2024.0,8.0,9.764516129032257,0.01,31
Argentina,2024.0,9.0,12.383333333333333,0.0033333333333333335,30
Argentina,2024.0,10.0,14.780645161290321,0.006129032258064516,31
Argentina,2024.0,11.0,17.709999999999997,0.005666666666666667,30
Argentina,2024.0,12.0,17.838709677419356,0.0064516129032258064,31
Argentina,2025.0,1.0,21.716666666666665,0.002,30
Argentina,2025.0,2.0,21.567857142857143,0.008928571428571428,28
Argentina,2025.0,3.0,18.551612903225806,0.01032258064516129,31
Argentina,2025.0,4.0,13.693333333333333,0.004333333333333333,30
Argentina,2025.0,5.0,13.296774193548387,0.00935483870967742,31
Argentina,2025.0,6.0,7.88,0.0030000000000000005,30
Argentina,2025.0,7.0,8.98709677419355,0.0064516129032258064,31
Argentina,2025.0,8.0,10.277419354838708,0.006129032258064516,31
Argentina,2025.0,9.0,11.093333333333334,0.004333333333333333,30
Argentina,2025.0,10.0,14.990322580645161,0.005483870967741936,31
Argentina,2025.0,11.0,15.816666666666666,0.009000000000000001,30
Argentina,2025.0,12.0,20.01290322580645,0.004193548387096774,31
Argentina,2026.0,1.0,20.959999999999997,0.003,30
Argentina,2026.0,2.0,21.142857142857142,0.002142857142857143,28
Argentina,2026.0,3.0,19.833333333333332,0.010000000000000002,30
Argentina,2026.0,4.0,15.753333333333334,0.013666666666666667,30
Argentina,2026.0,5.0,10.36774193548387,0.0064516129032258064,31
Argentina,2026.0,6.0,10.688235294117646,0.004705882352941177,17
Armenia,2024.0,5.0,22.823529411764707,0.02235294117647059,17
Armenia,2024.0,6.0,31.30666666666667,0.010666666666666666,30
Armenia,2024.0,7.0,31.858620689655172,0.013793103448275864,29
Armenia,2024.0,8.0,34.13225806451613,0.0025806451612903226,31
Armenia,2024.0,9.0,27.65666666666667,0.008,30
Armenia,2024.0,10.0,18.35483870967742,0.008064516129032258,31
Armenia,2024.0,11.0,10.886666666666667,0.0033333333333333335,30
Armenia,2024.0,12.0,4.696774193548387,0.0032258064516129032,31
Armenia,2025.0,1.0,3.3548387096774195,0.0,31
Armenia,2025.0,2.0,3.585714285714286,0.008214285714285714,28
Armenia,2025.0,3.0,14.51290322580645,0.00935483870967742,31
Armenia,2025.0,4.0,17.06,0.017333333333333333,30
Armenia,2025.0,5.0,23.58709677419355,0.013225806451612905,31
Armenia,2025.0,6.0,27.43,0.010666666666666666,30
Armenia,2025.0,7.0,31.129032258064516,0.0038709677419354843,31
Armenia,2025.0,8.0,31.019354838709678,0.0016129032258064516,31
Armenia,2025.0,9.0,23.583333333333332,0.004,30
Armenia,2025.0,10.0,16.938709677419357,0.004193548387096774,31
Armenia,2025.0,11.0,8.52,0.0003333333333333333,30
Armenia,2025.0,12.0,2.006451612903226,0.005483870967741936,31
Armenia,2026.0,1.0,-1.4266666666666643,0.009000000000000001,30
Armenia,2026.0,2.0,4.285714285714286,0.018214285714285714,28
Armenia,2026.0,3.0,5.016666666666667,0.021333333333333333,30
Armenia,2026.0,4.0,11.306666666666667,0.014666666666666666,30
Armenia,2026.0,5.0,16.76774193548387,0.017741935483870968,31
Armenia,2026.0,6.0,21.41176470588235,0.02235294117647059,17
Australia,2024.0,5.0,3.8666666666666667,0.0033333333333333335,15
Australia,2024.0,6.0,4.028125,0.004687500000000001,32
Australia,2024.0,7.0,4.403448275862069,0.004827586206896552,29
Australia,2024.0,8.0,7.738709677419355,0.006774193548387097,31
Australia,2024.0,9.0,10.606666666666666,0.0016666666666666668,30
Australia,2024.0,10.0,11.23225806451613,0.0025806451612903226,31
Australia,2024.0,11.0,17.373333333333335,0.007000000000000001,30
Australia,2024.0,12.0,17.074193548387097,0.0032258064516129032,31
Australia,2025.0,1.0,18.970967741935485,0.004838709677419356,31
Australia,2025.0,2.0,20.724999999999998,0.0071428571428571435,28
Australia,2025.0,3.0,19.861290322580647,0.0064516129032258064,31
Australia,2025.0,4.0,16.113333333333333,0.003666666666666667,30
Australia,2025.0,5.0,11.029032258064515,0.006129032258064516,31
Australia,2025.0,6.0,5.676666666666667,0.002,30
Australia,2025.0,7.0,7.951612903225806,0.013225806451612905,31
Australia,2025.0,8.0,10.183870967741935,0.00870967741935484,31
Australia,2025.0,9.0,14.233333333333333,0.006000000000000001,30
Australia,2025.0,10.0,18.451612903225808,0.0070967741935483875,31
Australia,2025.0,11.0,21.45,0.003666666666666667,30
Australia,2025.0,12.0,26.01290322580645,0.008064516129032258,31
Australia,2026.0,1.0,28.470000000000002,0.005333333333333333,30
