country,location_name,latitude,longitude,temperature_celsius,precip_mm,humidity,air_quality_PM2.5
Guatemala,Guatemala City,14.62,-90.53,17.895,0.009,94.0,42.408500000000004
Guatemala,Guatemala City,14.6211,-90.5269,16.994017094017092,0.012478632478632479,89.53846153846153,25.713461541721962
Guinea,Conakry,9.5092,-13.7122,25.746923076923075,0.011923076923076923,83.13846153846154,30.20996153846154
Guinea,Conakry,9.51,-13.71,27.70740740740741,0.036666666666666674,81.81481481481481,3.5818518518518516
Guinea-Bissau,Bissau,11.85,-15.5833,24.866935483870968,0.010080645161290322,75.35483870967742,35.64334677419355
Guinea-Bissau,Bissau,11.85,-15.58,30.09333333333333,0.022333333333333334,69.33333333333333,7.386833333333333
Guyana,Georgetown,6.8,-58.17,26.824,0.034,87.52,10.5146
Guyana,Georgetown,6.8,-58.1667,24.212280701754384,0.03403508771929825,96.29824561403508,10.321403508771931
Haiti,Port-Au-Prince,18.5392,-72.335,19.716666666666665,0.0,88.78333333333333,37.02195834604899
Haiti,Port-Au-Prince,18.54,-72.34,29.055999999999997,0.0044,72.52,10.525799999999998
Honduras,Tegucigalpa,14.1,-87.22,20.35483870967742,0.01064516129032258,90.19354838709677,6.033064516129032
Honduras,Tegucigalpa,14.1,-87.2167,19.23821138211382,0.012439024390243903,85.45528455284553,13.058861788617886
Hungary,Bogot,47.25,16.8333,10.542424242424241,0.004545454545454546,76.0909090909091,11.458939393939394
Hungary,Budapest,47.5,19.08,26.46923076923077,0.006153846153846154,45.42307692307692,6.96326923076923
Hungary,Budapest,47.5,19.0833,11.403007518796992,0.004887218045112782,66.48872180451127,21.484962406015036
Iceland,Abaer,65.3,-18.8667,9.3,0.025,79.0,2.95
Iceland,Grindavik,63.83,-22.43,8.742857142857144,0.01,70.85714285714286,1.0857142857142856
Iceland,Reykjavik,64.15,-21.95,2.8763636363636373,0.01890909090909091,73.52727272727273,3.3530909090909087
Iceland,Vestmannaeyjar,63.365,-20.2075,5.798507462686567,0.023880597014925373,79.01492537313433,4.465925373134328
Iceland,Vestmannaeyjar,63.37,-20.21,9.261111111111111,0.02,86.16666666666667,1.8279444444444444
India,New Delhi,28.6,77.2,30.571052631578947,0.005723684210526317,43.776315789473685,54.712664473684214
Indonesia,Jakarta,-6.2146,106.8451,30.77285714285714,0.023357142857142858,68.79285714285714,53.731035714285724
Indonesia,Jakarta,-6.21,106.85,28.75909090909091,0.029545454545454545,71.54545454545455,57.100000000000016
Indonesia,Laos,-8.1826,114.3188,27.455932203389832,0.04161016949152543,75.76271186440678,25.274830510090975
Indonesia,Laos,-8.18,114.32,22.33,0.03333333333333333,89.03333333333333,17.78033333333333
Indonesia,Surabaya,-7.25,112.75,27.7,0.0,74.0,13.6
Iran,Chi Chi Khvar,36.26,46.59,27.88125,0.0015625,21.0625,12.581875
Iran,Chi Chi Khvar,36.2625,46.59,15.014035087719298,0.005877192982456141,35.98245614035088,23.518333333333334
Iran,Tehran,35.7261,51.3304,19.546715328467155,0.005036496350364964,27.89051094890511,48.964051094890515
Iran,Tehran,35.73,51.33,32.61290322580645,0.0016129032258064516,16.774193548387096,20.59032258064516
Iraq,Baghdad,33.3386,44.3939,23.59561403508772,0.0035087719298245615,39.12280701754386,33.620657894736844
Iraq,Baghdad,33.34,44.39,42.3516129032258,0.0,12.64516129032258,20.886935483870968
Ireland,Dublin,53.33,-6.25,16.3,0.0262962962962963,66.70370370370371,4.130370370370371
Ireland,Dublin,53.3331,-6.2489,10.07348484848485,0.014015151515151515,85.8409090909091,11.08155303030303
Israel,Jerusalem,31.78,35.23,23.1487012987013,0.004090909090909091,49.58441558441559,20.69224025974026
Italy,Rome,41.9,12.48,29.650000000000002,0.002777777777777778,44.111111111111114,8.21638888888889
Italy,Rome,41.9,12.4833,15.971794871794872,0.00905982905982906,74.1025641025641,18.49200854700855
Jamaica,Kingston,18.0,-76.8,26.150980392156864,0.0,77.6078431372549,11.42
Jamaica,Norman Gardens,17.97,-76.75,31.15,0.0,69.5,6.7
Jamaica,Port Royal,17.93,-76.85,28.34166666666667,0.0,80.25,12.004583333333334
Jamaica,Port Royal,17.9333,-76.85,26.52151898734177,0.0018987341772151902,78.82278481012658,15.013101265822787
Japan,Tokyo,35.6895,139.6917,18.121008403361344,0.010756302521008404,56.563025210084035,37.853781512605046
